Date,Open
2000-01-01,49.833332
2000-01-08,48.500000
2000-01-15,49.291668
2000-01-22,49.583332
2000-01-29,51.208332
2000-02-05,54.791668
2000-02-12,54.833332
2000-02-19,50.666668
2000-02-26,51.166668
2000-03-04,55.291668
2000-03-11,51.750000
2000-03-18,60.000000
2000-03-25,64.000000
2000-04-01,58.625000
2000-04-08,57.000000
2000-04-15,51.666668
2000-04-22,50.666668
2000-04-29,48.333332
2000-05-06,47.750000
2000-05-13,48.500000
2000-05-20,48.833332
2000-05-27,47.750000
2000-06-03,53.666668
2000-06-10,49.375000
2000-06-17,45.375000
2000-06-24,46.562500
2000-07-01,45.875000
2000-07-08,50.187500
2000-07-15,53.750000
2000-07-22,52.437500
2000-07-29,49.000000
2000-08-05,53.062500
2000-08-12,52.750000
2000-08-19,51.000000
2000-08-26,52.000000
2000-09-02,56.437500
2000-09-09,57.500000
2000-09-16,49.125000
2000-09-23,47.500000
2000-09-30,46.625000
2000-10-07,43.125000
2000-10-14,40.187500
2000-10-21,38.187500
2000-10-28,42.812500
2000-11-04,44.875000
2000-11-11,41.875000
2000-11-18,39.750000
2000-11-25,39.437500
2000-12-02,37.375000
2000-12-09,40.250000
2000-12-16,44.000000
2000-12-23,45.625000
2000-12-30,44.625000
2001-01-06,49.000000
2001-01-13,53.500000
2001-01-20,50.562500
2001-01-27,54.189999
2001-02-03,54.509998
2001-02-10,52.470001
2001-02-17,51.990002
2001-02-24,48.000000
2001-03-03,45.900002
2001-03-10,47.500000
2001-03-17,44.400002
2001-03-24,42.150002
2001-03-31,44.500000
2001-04-07,39.900002
2001-04-14,45.369999
2001-04-21,47.950001
2001-04-28,50.040001
2001-05-05,49.049999
2001-05-12,46.400002
2001-05-19,48.480000
2001-05-26,49.000000
2001-06-02,48.750000
2001-06-09,44.250000
2001-06-16,44.500000
2001-06-23,46.000000
2001-06-30,44.799999
2001-07-07,44.400002
2001-07-14,42.900002
2001-07-21,43.400002
2001-07-28,43.599998
2001-08-04,43.320000
2001-08-11,41.810001
2001-08-18,41.299999
2001-08-25,40.779999
2001-09-01,39.500000
2001-09-08,36.299999
2001-09-15,35.000000
2001-09-22,31.650000
2001-09-29,34.299999
2001-10-06,32.500000
2001-10-13,32.099998
2001-10-20,33.880001
2001-10-27,37.099998
2001-11-03,36.500000
2001-11-10,38.759998
2001-11-17,39.599998
2001-11-24,39.389999
2001-12-01,36.900002
2001-12-08,39.770000
2001-12-15,36.099998
2001-12-22,35.759998
2001-12-29,36.450001
2002-01-05,39.049999
2002-01-12,37.650002
2002-01-19,36.000000
2002-01-26,35.150002
2002-02-02,32.169998
2002-02-09,31.219999
2002-02-16,29.299999
2002-02-23,27.799999
2002-03-02,30.250000
2002-03-09,35.500000
2002-03-16,36.009998
2002-03-23,35.200001
2002-03-30,35.650002
2002-04-06,34.540001
2002-04-13,35.500000
2002-04-20,37.270000
2002-04-27,35.400002
2002-05-04,35.950001
2002-05-11,35.349998
2002-05-18,37.799999
2002-05-25,37.750000
2002-06-01,36.000000
2002-06-08,33.650002
2002-06-15,33.599998
2002-06-22,32.250000
2002-06-29,33.590000
2002-07-06,32.590000
2002-07-13,29.600000
2002-07-20,25.959999
2002-07-27,23.750000
