Date,Adj Close
2008-01-02,2609.629883
2008-01-03,2602.679932
2008-01-04,2504.649902
2008-01-07,2499.459961
2008-01-08,2440.510010
2008-01-09,2474.550049
2008-01-10,2488.520020
2008-01-11,2439.939941
2008-01-14,2478.300049
2008-01-15,2417.590088
2008-01-16,2394.590088
2008-01-17,2346.899902
2008-01-18,2340.020020
2008-01-22,2292.270020
2008-01-23,2316.409912
2008-01-24,2360.919922
2008-01-25,2326.199951
2008-01-28,2349.909912
2008-01-29,2358.060059
2008-01-30,2349.000000
2008-01-31,2389.860107
2008-02-01,2413.360107
2008-02-04,2382.850098
2008-02-05,2309.570068
2008-02-06,2278.750000
2008-02-07,2293.030029
2008-02-08,2304.850098
2008-02-11,2320.060059
2008-02-12,2320.040039
2008-02-13,2373.929932
2008-02-14,2332.540039
2008-02-15,2321.800049
2008-02-19,2306.199951
2008-02-20,2327.100098
2008-02-21,2299.780029
2008-02-22,2303.350098
2008-02-25,2327.479980
2008-02-26,2344.989990
2008-02-27,2353.780029
2008-02-28,2331.570068
2008-02-29,2271.479980
2008-03-03,2258.600098
2008-03-04,2260.280029
2008-03-05,2272.810059
2008-03-06,2220.500000
2008-03-07,2212.489990
2008-03-10,2169.340088
2008-03-11,2255.760010
2008-03-12,2243.870117
2008-03-13,2263.610107
2008-03-14,2212.489990
2008-03-17,2177.010010
2008-03-18,2268.260010
2008-03-19,2209.959961
2008-03-20,2258.110107
2008-03-24,2326.750000
2008-03-25,2341.050049
2008-03-26,2324.360107
2008-03-27,2280.830078
2008-03-28,2261.179932
2008-03-31,2279.100098
2008-04-01,2362.750000
2008-04-02,2361.399902
2008-04-03,2363.300049
2008-04-04,2370.979980
2008-04-07,2364.830078
2008-04-08,2348.760010
2008-04-09,2322.120117
2008-04-10,2351.699951
2008-04-11,2290.239990
2008-04-14,2275.820068
2008-04-15,2286.040039
2008-04-16,2350.110107
2008-04-17,2341.830078
2008-04-18,2402.969971
2008-04-21,2408.040039
